24;Ugly@entreprise.com;FONTAINE;Alexia;(740) 100-8050;Sophisticated@gmail.com;(155) 792-3559;92974;;8
25;Rambunctious@entreprise.com;ROUSSEAU;Amélie;(193) 181-7764;Plucky@gmail.com;(175) 588-7373;71332;;46
26;Scary@entreprise.com;VINCENT;Annabelle;(106) 134-7184;Rough@gmail.com;(683) 457-1398;89589;;11
27;Icky@entreprise.com;MULLER;Arianne;(366) 713-1099;Elated@gmail.com;(443) 153-2490;44330;;44
28;Bite-sized@entreprise.com;LEFEVRE;Audrey;(323) 874-8972;Rightful@gmail.com;(820) 686-2830;75416;;29
29;Vulgar@entreprise.com;FAURE;Aurélie;(834) 710-8468;Humorous@gmail.com;(587) 203-4448;92105;;6
30;Beautiful@entreprise.com;ANDRE;Camille;(269) 423-1165;Cut@gmail.com;(116) 692-0535;63195;;39
31;Irate@entreprise.com;MERCIER;Catherine;(269) 646-7940;Disgusting@gmail.com;(998) 752-7912;37939;;17
32;Puzzling@entreprise.com;BLANC;Chloé;(244) 454-9695;Shaggy@gmail.com;(478) 653-4040;23838;;29
33;Burly@entreprise.com;BLANC;Clara;(113) 529-9621;Straight@gmail.com;(940) 318-1499;33322;;21
34;Infamous@entreprise.com;BOYER;Coralie;(357) 795-9883;Pink@gmail.com;(502) 441-0450;67301;;34
35;Noisy@entreprise.com;GARNIER;Daphnée;(457) 300-7314;Furtive@gmail.com;(437) 313-8773;11835;;1
36;Careful@entreprise.com;CHEVALIER;Elizabeth;(937) 916-5178;Tasty@gmail.com;(234) 827-1017;94802;;39
37;Slim@entreprise.com;FRANCOIS;Émilie;(880) 478-9103;Selective@gmail.com;(325) 258-7786;82768;;14
38;Grotesque@entreprise.com;LEGRAND;Emy;(369) 395-4030;Grubby@gmail.com;(713) 768-2376;55421;;48
39;Secret@entreprise.com;GAUTHIER;Ève;(819) 378-5929;Cagey@gmail.com;(401) 315-9237;48284;;25
40;Free@entreprise.com;GARCIA;Florence;(933) 845-2851;Aspiring@gmail.com;(691) 532-9907;3022;;15
41;Afraid@entreprise.com;GAUTIER;Gabrielle;(809) 970-2843;Interesting@gmail.com;(799) 344-5501;85190;;14
42;FlashyMystere@gmail.com;GAUTIER;Jade;(316) 765-1474;Hurried@gmail.com;(408) 276-9472;11335;;41
43;ZanyMystere@gmail.com;GAUTIER;Justine;(903) 801-3869;Innocent@gmail.com;(453) 868-5248;82475;;44
44;ModernMystere@gmail.com;GAUTIER;Laurence;(125) 770-3316;Ugly@gmail.com;(358) 646-5508;68763;;45
45;NiceMystere@gmail.com;NICOLAS;Laurie;(172) 618-9215;Rambunctious@gmail.com;(934) 508-7105;64494;;24
46;MeaslyMystere@gmail.com;MASSON;Marianne;(336) 753-7839;Scary@gmail.com;(397) 548-8535;93011;;21
47;AwakeMystere@gmail.com;MASSON;Océane;(694) 916-4411;Icky@gmail.com;(218) 615-5392;98201;;17
48;CuteMystere@gmail.com;MASSON;Olivia;(638) 975-8029;Bite-sized@gmail.com;(944) 239-8498;48661;;22
49;TangibleMystere@gmail.com;GAUTIER;Rose;(324) 699-9973;Hard@gmail.com;(877) 103-0900;93761;;11
